Column,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP2,PTS2,TRB2,AST2,WS,WS/48,BPM,VORP
33,32,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,0.412,0.290,0.776,14.1,5.3,2.2,0.6,1.3,0.030,-3.3,-0.7
34,33,33,CLE,Joe Harris,Virginia,5,262,5914,2454,742,391,0.475,0.427,0.797,22.6,9.4,2.8,1.5,10.4,0.085,-0.5,2.2
35,34,34,NYK,Cleanthony Early,Wichita State,2,56,801,241,123,42,0.346,0.263,0.750,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.7,-0.8
36,35,35,UTA,Jarnell Stokes,Tennessee,3,28,151,67,40,7,0.581,,0.531,5.4,2.4,1.4,0.3,0.6,0.202,1.0,0.1
37,36,36,MIL,Johnny O'Bryant,LSU,4,147,1684,509,352,69,0.402,0.360,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.4,-1.9
38,37,37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,,,,
39,38,38,DET,Spencer Dinwiddie,Colorado,5,253,6168,2785,654,1146,0.408,0.323,0.801,24.4,11.0,2.6,4.5,13.5,0.105,-0.6,2.1
40,39,39,PHI,Jerami Grant,Syracuse,5,383,9233,3369,1500,396,0.461,0.334,0.654,24.1,8.8,3.9,1.0,18.2,0.095,-1.1,2.0
41,40,40,MIN,Glenn Robinson,Michigan,5,219,3144,956,461,122,0.439,0.361,0.726,14.4,4.4,2.1,0.6,4.7,0.072,-2.6,-0.5
42,41,41,DEN,Nikola Jokić,,4,308,8718,5006,2946,1586,0.523,0.345,0.828,28.3,16.3,9.6,5.1,38.9,0.214,7.6,21.2
43,42,42,HOU,Nick Johnson,Arizona,1,28,262,74,39,11,0.347,0.238,0.680,9.4,2.6,1.4,0.4,-0.1,-0.020,-7.3,-0.3
44,43,43,ATL,Edy Tavares,,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.6,0.0
45,44,44,MIN,Markel Brown,Oklahoma State,3,113,1794,584,234,132,0.380,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.8,-0.4
46,45,45,CHH,Dwight Powell,Stanford,5,331,5895,2491,1484,305,0.553,0.298,0.750,17.8,7.5,4.5,0.9,22.4,0.182,2.1,6.1
47,46,46,WAS,Jordan Clarkson,Missouri,5,382,10527,5621,1237,1028,0.445,0.335,0.815,27.6,14.7,3.2,2.7,10.5,0.048,-1.8,0.6
48,47,47,PHI,Russ Smith,Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2.0,0.6,0.7,-0.2,-0.068,-6.4,-0.1
49,48,48,MIL,Lamar Patterson,Pitt,2,40,435,93,57,45,0.326,0.236,0.720,10.9,2.3,1.4,1.1,0.1,0.006,-5.5,-0.4
50,49,49,CHI,Cameron Bairstow,New Mexico,2,36,167,44,36,7,0.296,0.200,0.846,4.6,1.2,1.0,0.2,-0.1,-0.021,-7.7,-0.2
51,50,50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,,,,
52,51,51,NYK,Thanasis Antetokounmpo,,1,2,6,6,1,0,0.750,0.000,,3.0,3.0,0.5,0.0,0.0,0.291,-4.1,0.0
53,52,52,PHI,Vasilije Micić,,,,,,,,,,,,,,,,,,
54,53,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
55,54,54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,,,,
56,55,55,MIA,Semaj Christon,Xavier,1,64,973,183,87,130,0.345,0.190,0.548,15.2,2.9,1.4,2.0,0.1,0.006,-6.3,-1.1
57,56,56,DEN,Devyn Marble,Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.0,-0.3
58,57,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
59,58,58,SAS,Jordan McRae,Tennessee,3,86,912,420,101,74,0.427,0.352,0.784,10.6,4.9,1.2,0.9,1.0,0.051,-5.0,-0.7
60,59,59,TOR,Xavier Thames,San Diego State,,,,,,,,,,,,,,,,,
61,60,60,SAS,Cory Jefferson,Baylor,2,58,581,205,161,16,0.444,0.125,0.583,10.0,3.5,2.8,0.3,0.9,0.071,-4.6,-0.4
